C14ID,SiteID,LONGITUDE,Latitude,SITE,SITE_TYPE,LabCode,C14Age,C14SD,C13_AGE,C13_ERROR,MATERIAL,Material,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,,,Country
13577,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,GaK-370,1210,30,,,Charcoal,Charcoal,"Trench 5(e), IIIA",,Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1965, 1966; Kigoshi et al., 1965","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition. Stratigraphically relates to, but does not correlate with, V-11. Relates to the talus slope, which contained a dark black soil retaining few animal bones, blade tools, high concentrations of stone artefacts. Dates the first appearance of uniface pebbles edge ground artefacts in the region.",c14,,1210,,,,AUSTRALIA
12415,Sydney Basin,151.27,-33.87,"Royal Sydney Golf Course, Rose Bay",Open site,Wk-27466,1265,30,-25,0.2,Charcoal,Charcoal,Feature 1,>1 m,Radiocarbon,,Terrestrial,Open,Y,"Jo McDonald Cultural Heritage Management Pty Ltd, 2010","A salvage excavation prior to the development of new structures at the Royal Sydney Golf Club, located on the Botany Bay sand dune system.  Extensive excavation of the northern bowling lawn recovered several human remains (at least 3) and over 5,700 artefacts within a disturbed and truncated dune deposit. This sample came from beneath skeletal remains in feature 1. The assemblage wa of middle to late Bondaian age and was dominated by quartz with lesser proportions of silcrete, silicified tuff. silicified wood, quartzite and other FGS. Several backed blades and bipolar flakes and cores were recovered.",c14,,1265,,,,AUSTRALIA
10257,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-29097,1543,30,-22.6,0.2,Carbonised wood,Charcoal,"Sq. B, XU 10a, sample 9",21.4-24.0,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,1543,,,,AUSTRALIA
12395,Sydney Basin,151.76,-32.92,Palais Royale,Open site,Wk-26882,2055,30,-24.2,0.2,Charcoal,Charcoal,"TP B12, spit 3",192.5,Radiocarbon,,Terrestrial,Open,Y,AN Williams unpub,Relates to a hearth found in association with the uppermost (and largest) of three artefact assemblages within this site. This assemblage was four times the size of others and retained extensive backed blades and exotic materials. AMS Measurement,c14,,2055,,,,AUSTRALIA
10128,Sydney Basin,151.3,-33.71,Narrabeen Man,Burial,CAMS-120202,3480,30,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"McDonald et al., 2007","A human skeleton (male between 30-40 years old) was uncovered during the installation of an electrical cable about 1.5 m below current street surface in Narrabeen, NSW. The skeleton contained several backed blades embedded within the bones and indicated he was killed by at least three hafted weaopns, including a spear. It provides the first definitive evidence of baked blades being used in a hafted context and used for violent means. Skeletal position and geomorphological evidence indicates he was partially burned and naturally buried by dune progression in the area.",c14,,3480,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
12122,South East Coastal Plain,145.19,-38,Bend Road (AAV # 7921-0735/6),Open site,Wk-23983,4485,30,,,Charcoal,Charcoal,"BR1/N/15, SU 3b",54.7,Radiocarbon,,Terrestrial,Open,Y,"Hewitt & Allen, 2010","An open site investigated by La Trobe University prior to the installation of a new Freeway in Keysborough, southeast Melbourne. The site was primarily composed of a homogenous sand sheet - part of the Cranebourne sands - overlying coffee rock and cemented sands. The excavation identified 8 SU's- SU 1 - 6 is primarily sand of various colours, SU 7 is coffee rock, SU 8 is cemented sands and clays. SU 3a was divided based on the appearance and presence of backed blades. Extensive dating indicated that SU 3b occurred at c.5-6.5ka, while SU 4 is primairly of LGM age. SU 5 and 6 both date to 29-35ka. The artefact distributions occurred in three main layers (spits 2-4; 5-11; and 13-15), the lower two were considered to represent deflation/lag deposits of artefacts, one pre-LGM, and one at the LGM; the upper assemblage containing backed blades revealed conjoins and indicated some level of 'intactness'. Some discrepancy between the radiocarbon and OSL dates (the latter saying the deposits were older) was noted, but the upper assemblage was considered to be mid-late Holocene in age.",c14,,4485,,,,AUSTRALIA
10251,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-28881,624,31,-25.5,0.2,Carbonised wood,Charcoal,"Sq. B, XU 8, sample 2",15.0-18.6,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,624,,,,AUSTRALIA
10252,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-28882,665,31,-25,0.2,Carbonised wood,Charcoal,"Sq. B, XU 8, sample 6",15.0-18.6,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,665,,,,AUSTRALIA
10255,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-28880,889,31,-24.4,0.2,Carbonised wood,Charcoal,"Sq. B, XU 8, sample 1",15.0-18.6,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,889,,,,AUSTRALIA
12681,Arnhem Plateau,133.01,-12.43,Birriwilk rockshelter,Rockshelter,Wk-32919,4056,31,-25.3,0.2,Charcoal,Charcoal,XU 24,48-50,Radiocarbon,,Terrestrial,Closed,Y,Shine et al. 2013,"A rockshelter located in in Mikinj Valley, southwest Arnhem Land. The rockshelter was an elevated terrace some 13 x 7 m in size, and overlooks Birriwilk lagoon. The rockshelter contains 30 images of primarily bi and tri chrome x-ray fish art, as well as few animals. Excavations consisted of 1 sq. m at the base of the rock art panel within the shelter. Excavations reached bedrock at 103 cm below surface. Excavations recovered 412 artefacts, charcoal, shell and worked and unworked ochre. Glass was also found in XU3-4. Data suggests initial use from XU 31 at c. 4.5ka (Wk-33541) with intermittent use from c. 4ka (Wk-32919) and peak activity between c. 0.7-0.3ka (Wk-33540-Wk-33542), with decline in use in uppermost deposits. Artefacts show changing use in material over time beginning with tuff, then chert and finally quartzite, the latter being associated with bifacial points. Faunal remains included turtle and fish species.",c14,,4056,,,,AUSTRALIA
