C14ID,SiteID,LONGITUDE,Latitude,SITE,SITE_TYPE,LabCode,C14Age,C14SD,C13_AGE,C13_ERROR,MATERIAL,Material,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,,,Country
10510,Sydney Basin,151.15,-33.93,Tempe House,Hearth,Wk-16167,9376,61,-24.4,0.2,Charcoal,Charcoal,DP/TP 8/F1,,Radiocarbon,,Terrestrial,Open,Y,"Jo McDonald Cultural Heritage Management Pty Ltd, 2006",Midden undertaken as part of a salvage investigation adjacent Cooks River. The midden was shallow and demonstrated exploitation of local mudflat species. Only shellfish was recovered from the midden and evidence of small artefacts with cortex rarely found. This date came from a hearth found as part of the initial phase of test excavations. This date was AMS.,c14,,9376,,,,AUSTRALIA
10453,Murray Darling Depression,141.5,-32.3,Pine Creek,Hearth,Wk-12320,967,62,,,Charcoal from hearth,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,Shiner 2006,,c14,,967,,,,AUSTRALIA
13490,Nandewar,150.93,-29.47,Graman Area B Site 4,Rockshelter,ANU-56,2290,62,,,Charcoal,Charcoal,"Tr. 1, level II, spit 1","18.5""",Radiocarbon,,Terrestrial,Closed,Y,"Polach et al. 1968, McBryde, 1974","One of a complex of sites along Ottley Creek investigated by McBryde (1974). The site retained two main levels dating to between c. 2000 - 4000 BP. This samples was associated with rich collection of bone and stone implements (including backed blades). Agrees well with GaK-1190 in a similar context 60"" away.",c14,,2290,,,,AUSTRALIA
10307,Channel Country,141.13,-23.77,Diamantina River Hearths,Hearth,Wk-10500,729,63,,,Charcoal from hearth,Charcoal,PJ/H/137 (spit 4),,Radiocarbon,,Terrestrial,Open,Y,Simmons 2002,,c14,,729,,,,AUSTRALIA
12465,Victoria Midlands,144.83,-37.73,Brimbank Park 2 (AAV 7822-0890),Open site,NZA-8537,9024,63,,,Charcoal,Charcoal,A43,,Radiocarbon,,Terrestrial,Open,Y,"Tunn, 1998","An excavation recovering a series of artefacts from a long exposure (some 50 m) along Taylor's creek, within the wider Keilor/Green Gully area. The investigation recovered 50 lithics and bone fragments in a broad unit across the exposure. Several of the lithics/bone was recovered from a distinct hearth-like feature. The assemblage was dominated by basalt cobbles and fragments, as well as silcrete flakes. This sample was an AMS date and was taken from about 18.95m ASL",c14,,9024,,,,AUSTRALIA
13055,Cobar Peneplain,145.6,-31.51,Mount Grenfell Station,Rockshelter,V-49,200,65,,,Charcoal,Charcoal,,17.8-20.3,Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McCarthy, 1976","Date taken from one of seven shelters with elaborate paintings. Deposits yielded implements characteristic of lower Murrary River deposits exacavated from Fromm's Landing and Devon Downs RS. Implements comprised high proportions of tula slages, few scrapers and tula chisels, fragments of millstones and ground edge axes. This sample came from the mid point of the the occupation deposit within the eastern portion of the shelter.",c14,,200,,,,AUSTRALIA
11417,Victoria Volcanic Plain,143.26,-38.76,Moonlight Head,Midden,Beta-1690,960,65,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Zobel et al. 1984 cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka.",c14,,960,,,,AUSTRALIA
13811,South Eastern Highlands,148.21,-37.41,Cloggs Cave,Rockshelter,ANU-1181,1010,65,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,"Flood, 1980","Date relates to the upper 'small tool tradition' within the site. The deposit consisted of 11 backed blades of chert and jasper, 23 bipolar scaled pieces of quartz, small low-backed scrapers, 15 blade cores and 7 small core tools, 4 use-polished and 5 slightly retouched flakes and some 600 waste flakes (from a 7.5 sq m excavation). The author considered this assmeblage to reflect a manufacturing site. This site differs from others further north in the favouring of geometric microliths over backed blades - a common occurrence in the more southerly parts of SE Australia.",c14,,1010,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10970,Riverina,143.8,-34.43,Boundary Bend,Midden,N-1661,2010,65,,,Freshwater mussel shell,Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,Y,"Yamasaki et al., 1977; Godfrey et al., 1996",A shell layer 0.5 m below the surface within a cliffed linear dune trucated by Murray River at Boundary Bend.,c14,,2010,,,,AUSTRALIA
13484,Nandewar,150.93,-29.47,Graman Area B Site 1,Rockshelter,ANU-54,2760,65,,,Scattered charcoal,Charcoal,"Site 1, Tr. 2, zone (d), Level II, spit 1","16-19""",Radiocarbon,,Terrestrial,Closed,Y,"Polach et al. 1968, McBryde, 1974",One of a complex of sites along Ottley Creek investigated by McBryde (1974). The site retained two main levels dating to between c. 2000 - 4000 BP. This sample dates the upper part of Level II. Associated with industry of backed blades. Agrees well with Gak-1187 and 1188.,c14,,2760,,,,AUSTRALIA
12650,Victoria Bonaparte,129.2,-15.4,Jinmium KR 1 crust,Rock engraving/art  coatings,OxA-7369,5840,65,,,Oxalate Carbon Crust,Other,Layer 3,N/A,Radiocarbon,,Terrestrial,Closed,Y,Watchman et al. 2000a,Samples from oxcalate coating overlying cupules.,c14,,5840,,,,AUSTRALIA
13579,NSW North Coast,152.91,-29.59,Seelands,Rockshelter,V-24,4042,66,,,Charcoal,Charcoal,"Trench 2(f), V","30""",Radiocarbon,,Terrestrial,Closed,Y,"Bermingham, 1966; McBryde, 1966","An extensive study of the rockshleter including four trenches across various parts of the site. Radiocarbon dating and analysis done on each of the trenches, with later compilation in McBryde 1874. A compilation of all these trenches revealed a uniface pebble industry in levels, IV, V and VI composed primarily indurated mudstone, siltstone and greywacke (all available from the nearby Clarence River). These lower depths retained very few artefacts between c. 2000 - 5000 BP. Level IIIA and IV similarly contains greywacke uniface pebbles, but also the appearanance of blade tools,  geometric microliths and ground-edged tools (c. 2000 BP). Level IV also contains bone artefacts, which gain in importance in levels II and III. Levels I, II and III dominated by small tool tradition. One of lowest levels of deposit, containing predominantly uniface pebbles and first appearance of backed blades",c14,,4042,,,,AUSTRALIA
12135,South Eastern Highlands,149.97,-34.3,Wombeyan Caves #1,Open site,Wk-11562,12178,66,,,Charcoal,Charcoal,Sq. W2,c.140,Radiocarbon,,Terrestrial,Open,Y,"Navin Officer Heritage Consultants Pty Ltd, 2003","An open site investigated as part of the installation of a sewerage system at Wombeyan Caves (at 600 m AHD). A test excavation of a surface scatter in association with alluvial terraces revealed deposits to 140cm. In one test pit, a buried palaesol between 120 and 140 cm below the surface retained an archaeological assemblage. This sample and Wk-11561 date the lower palaesol to the Terminal Pleistocene and suggest occupation of these uplands even in poorer climatic conditions. The excavations recovered 244 artefacts composed of eight different raw materials (only four of which were local). While only a small sample size, numbers of artefacts and retouched pieces were evident predominatly in the upper depths.",c14,,12178,,,,AUSTRALIA
10113,South East Coastal Plain,142.36,-38.35,Gormans Road 1,Burial,NZA-3964,3538,68,,,Bone (gelatin),Bone,Layer 2,05-Oct,Radiocarbon,,Terrestrial,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample was taken from a human rib bone.,c14,,3538,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10459,Murray Darling Depression,141.5,-32.3,Rantyga Creek,Hearth,Wk-9995,848,69,,,Charcoal from hearth,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,Shiner 2006,,c14,,848,,,,AUSTRALIA
13874,Swan Coastal Plain,116.22,-31.6,Frieze Cave,Rockshelter,ANU-827,110,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,"Dortch, 1977","A rockshelter located in the Avon Valley near York, WA. Investigated by Sylvia Hallam in 1972. Limited contextual information provided, but four dates were obtained to characterise the microlithic industry present in the rockshelter. This date is believed to form the most recent occurrence microlithic industry at this site.",c14,,110,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
11107,South East Corner,149.76,-37.56,Captain Stevenson's Point,Midden,SUA-1919,150,70,,,Charcoal,Charcoal,"Pit 3 9N/1W, Spit 2",,Radiocarbon,,Terrestrial,Open,Y,"Coutts et al. 1984; Richman, 1999","The site contained a variety of shellfish and fish from the Mallacoota Inlet, shellfish and seal from the rock platforms at Bastion Point, and terrestrial animal remains. Excavations contained several bone tools and stone flakes. A human burial was also located at the bottom of the excavatioms partially destroyed by previous development. Author suggests the site was occupied ephemerally from about 2.4ka with no evidence of sterile deposits. Richman quotes this date as 200 +/- 60.",c14,,150,,,,AUSTRALIA
13505,Naracoorte Coastal Plain,140.69,-38.05,Koongine Cave,Rockshelter,Beta-21540,150,70,,,Charcoal,Charcoal,"J9/8, unit 3",,Radiocarbon,,Terrestrial,Closed,Y,"Frankel, 1988 cit. Bird & Frankel, 1991","Referred to in a  study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. This sample was taken from the 'upper occupation'.",c14,,150,,,,AUSTRALIA
10014,Murray Darling Depression,150.36,-28.61,Boggabilla,Burial,ANU-7670B,190,70,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993","Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River. No spatial information, Bogabilla appears to be located on the NSW/QLD border, yet the date is referenced as relating to the Willandra/Lachlan region in the publication.",c14,,190,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
13592,Nullarbor,129.42,-31.48,Allens Cave (N145),Rockshelter,ANU-6842,220,70,,,Charcoal,Charcoal,top hearth,16cm bsl,Radiocarbon,,Terrestrial,Closed,Y,Cane 1995,Hearth,c14,,220,,,,AUSTRALIA
10199,Riverina,143.38,-35.17,DP/8,Earth mound,SUA-1917,260,70,,,Charcoal,Charcoal,Spit 5,,Radiocarbon,,Terrestrial,Open,,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample comes from an earth mound on the Murray River near Swan Hill. It may relate to work by Coutts (1979).,c14,,260,,,,AUSTRALIA
14776,Sydney Basin,150.84,-35.01,Abraham's Bosom Rockshelter 1,Rockshelter with midden deposits,ANU-6447,270,70,,,Charcoal,Charcoal,"TP AB1/1, spit 2, layer 1",Feb-13,Radiocarbon,,Terrestrial,Closed,Y,"Paton & MacFarlane, 1989; Boot, 2002","Site located some 1200 m from the township of Currarong along Abrahams Bosom creek. Not far from Curracurrang RS due by Lampert in the 1970's. Excavation undertaken as part of a planning exercise for a proposed walking track. Two 100 x 100 cm test pits were excavated. TP AB/1 was some 115 cm deep and revealed four stratigraphic units, AB/2 was only 50 cm deep and contained two of the units identified in AB/1, specifically 'layers 1 and 2'. The site contained a lower black humic deposit (layer 3) with low shell and bone component, but high stone artefacts, overlain by a midden deposit containing fish hooks, organic materials and fewer stone artefacts. Two bone points were also recovered. The midden deposit was further split into layers 1 and 2 with the upper deposit appearing more recent/less compacted/decomposed; the lower deposit (layer 2) was dominated by compacted and decomposing shell and numerous ash layers. The midden deposit was dominated by edible muissel (Mytlius edulis plantulatus) (up to 50%) with Nerita sp. similar in several levels. Oyster and limpets were also present (10-20%)/ This pattern of exploitation revealed highly localised exploitation, differing significantly from nearby Curracurang RS. All samples came from charcoal collected in the sieves.",c14,,270,,,,AUSTRALIA
10483,Simpson Strzelecki Dunefields,134.76,-25.51,Simpson Desert 226,Hearth,GX14607,275,70,,,Charcoal,Charcoal,surface hearth,,Radiocarbon,,Terrestrial,Open,Y,Napton&Greathouse 1996,,c14,,275,,,,AUSTRALIA
13507,Naracoorte Coastal Plain,140.69,-38.05,Koongine Cave,Rockshelter,Beta-21543,290,70,,,Charcoal,Charcoal,J12-4(44),,Radiocarbon,,Terrestrial,Closed,Y,"Frankel, 1988 cit. Bird & Frankel, 1991","Referred to in a  study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. This sample was taken from the 'upper occupation'.",c14,,290,,,,AUSTRALIA
10139,Victoria Midlands,144.44,-37.16,Springfield Gorge,Burial,SUA-1495,330,70,,,Cordarge (wood fibres from Acacia sp.),Wood/Plant Material,,,Radiocarbon,,Terrestrial,Closed,Y,"Coutts 1982 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample was taken from a woven bag in association with a burial in lava cave near Lancefield.,c14,,330,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
14777,Sydney Basin,150.84,-35.01,Abraham's Bosom Rockshelter 1,Rockshelter with midden deposits,ANU-6448,330,70,,,Charcoal,Charcoal,"TP AB2/1, spit 8, layer 2",40-48,Radiocarbon,,Terrestrial,Closed,Y,"Paton & MacFarlane, 1989; Boot, 2002","Site located some 1200 m from the township of Currarong along Abrahams Bosom creek. Not far from Curracurrang RS due by Lampert in the 1970's. Excavation undertaken as part of a planning exercise for a proposed walking track. Two 100 x 100 cm test pits were excavated. TP AB/1 was some 115 cm deep and revealed four stratigraphic units, AB/2 was only 50 cm deep and contained two of the units identified in AB/1, specifically 'layers 1 and 2'. The site contained a lower black humic deposit (layer 3) with low shell and bone component, but high stone artefacts, overlain by a midden deposit containing fish hooks, organic materials and fewer stone artefacts. Two bone points were also recovered. The midden deposit was further split into layers 1 and 2 with the upper deposit appearing more recent/less compacted/decomposed; the lower deposit (layer 2) was dominated by compacted and decomposing shell and numerous ash layers. The midden deposit was dominated by edible muissel (Mytlius edulis plantulatus) (up to 50%) with Nerita sp. similar in several levels. Oyster and limpets were also present (10-20%)/ This pattern of exploitation revealed highly localised exploitation, differing significantly from nearby Curracurang RS. All samples came from charcoal collected in the sieves. This sample dates a fish hook file found at the site.",c14,,330,,,,AUSTRALIA
10170,Darwin Coastal,130.8,-12.5,MP (Middle Point) 2,Earth mound,Wk-5581,350,70,,,Charcoal,Charcoal,Spit 5,22-26,Radiocarbon,,Terrestrial,Open,Y,"Brockwell, 2006a, 2006b, 2009; Brockwell & Ackermann, 2007",Brockwell relates this to the late Freshwater environmental phase of the Adelaide River,c14,,350,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10793,Naracoorte Coastal Plain,140.1,-37.54,Abyssinia Bay,Midden,ANU-1238,350,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Luebbers, 1978 cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. This sample comes from the upper part of a midden deposit. This sample pairs with ANU-1243.",c14,,350,,,,AUSTRALIA
10729,King,144.73,-40.33,Muttonbird Midden,Midden,ANU-1621,420,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Bowdler, 1979 cit. Stockton, 1981",This sample is referred to in a review paper of Tasmanian radiocarbon dates by Stockton 1981. Limited contextual information is provided. This sample comes from the top of the midden.,c14,,420,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10310,Channel Country,144.41,-28.76,Kaponyee Spring IIb,Hearth,Beta 35210,430,70,,,Charcoal from hearth,Charcoal,Excavation Unit 3,06-Oct,Radiocarbon,,Terrestrial,Open,Y,"Robin 1993, 1996",,c14,,430,,,,AUSTRALIA
13992,Sydney Basin,150.28,-35.17,Kangaroo Hill 4,Rockshelter,ANU-8437,430,70,,,Charcoal from hearth,Charcoal,"Sq. 2, spit 1",,Radiocarbon,,Terrestrial,Closed,Y,"Boot, 1994",Shallow deposit within rockshelter. This date relates to a thin band of occupation running through the site.,c14,,430,,,,AUSTRALIA
10208,South East Coastal Plain,142.52,-37.96,McArthur Creek 5,Earth mound,ANU-3761,440,70,,,Charcoal,Charcoal,Unit 2B,,Radiocarbon,,Terrestrial,Open,Y,"Williams 1985, cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. Earth mounds have several different interpretations, including house foundations and/or a byproduct of repeated visitation and cooking and/or through collapse of sod/turf structures. This sample is associated with 'mound core'.",c14,,440,,,,AUSTRALIA
14026,Sydney Basin,150.97,-34.05,Mills Creek 11,Rockshelter,SUA-2255,480,70,,,Charcoal,Charcoal,"Sq. 1, spit 3",Oct-16,Radiocarbon,,Terrestrial,Closed,Y,"Koettig, 1985a","A rockshelter excavated prior to the installation of a land fill site near Heathcote Road, NSW. (The landfill has destroyed/buried the sites). The rockshelter was excavated to 50 cm in several areas and revealed to two main archaeological units, I (spits 1 - 4) and II (spits 5-11); the latter unit was subsequent split into IIA (spits 5-7) and IIB (spits 8-11). Radiocarbon dates indicated the use of the site from c. 2ka to European arrival. The excavation recovered some 14,000 lithics dominated by quartz, silcrete and fine grained siliceous material. An early dominance of silcrete declined around spit 4 to a dominance in quartz in the upper levels. Small marsupial and reptile bone was found in layer I. Bipolar flaking was present throughout the site with a significant increase in bipolar knapping of silcrete in layer I. Backed blades were present in all depths and in some numbers in the basal layer, indicating a proliferation by c. 2.2ka.",c14,,480,,,,AUSTRALIA
10953,Pilbara (coast),117.67,-20.7,Skew Valley (P0406) midden,Midden,ANU-1833,500,70,,,Charcoal,Charcoal,Near surface,,Radiocarbon,,Terrestrial,Open,Y,"Lorblanchet, 1992",,c14,,500,,,,AUSTRALIA
10971,Riverina,144.36,-35.86,Mckay Mill Bend 3,Midden,Beta-45946,510,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Rhodes 1992 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample comes from a shell lens with charcoal 30 cm thick on Gunbower Island.,c14,,510,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10118,South Eastern Highlands,146.01,-36.84,Lima South Burial,Burial,SUA-2177,550,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. A sample from a burial within a rockshelter. No further contextual information.,c14,,550,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
13993,Sydney Basin,150.28,-35.17,Kangaroo Hill 4,Rockshelter,ANU-8438,550,70,,,Charcoal from hearth,Charcoal,"Sq. 2, spit 3",,Radiocarbon,,Terrestrial,Closed,Y,"Boot 1993, 1994",Shallow deposit within rockshelter. This date relates to a thin band of occupation running through the site.,c14,,550,,,,AUSTRALIA
12506,Victoria Volcanic Plain,142.88,-37.71,Lake Bolac 2,Open site,SUA-1456,580,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Coutts & Witter, 1977, cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. This sample dates the bottom of the 'modern layer'.",c14,,580,,,,AUSTRALIA
10345,Desert Uplands,143.1519,-20.7422,Richmond Hearth 13/B1,Hearth,ANU-11908,630,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,Wallis et al. 2004,,c14,,630,,,,AUSTRALIA
14048,Sydney Basin,150.28,-35.17,"Rock Pool Shelter, Tianjara Creek",Rockshelter,ANU-8423,690,70,,,Charcoal from hearth,Charcoal,"Sq. 1, spit 1",,Radiocarbon,,Terrestrial,Closed,Y,"Boot 1993, 1994",Rockshelter near a small rockpool with 48 grinding grooves. Shallow deposit within rockshelter. Most artefacts recovered from spits 6 and 7. ANU-8423 and ANU-8981 brackets occupation at site.,c14,,690,,,,AUSTRALIA
13509,Naracoorte Coastal Plain,140.69,-38.05,Koongine Cave,Rockshelter,Beta-14848,700,70,,,Charcoal,Charcoal,"Sq. J9/7, unit 2",54,Radiocarbon,,Terrestrial,Closed,Y,"Frankel, 1986; Frankel, 1988 cit. Bird & Frankel, 1991","One of several rockshelters in this location (and includes Malangine and Piccaninnie RS). Excavations revealed a mixture of charcoal-rich occupation deposits interleaved with sterile sands. An initial intense occupation of about 1,000 years was identified at 9ka, and composed of flint tools and bones. Some shell was also evident in the lowest deposit. More recent deposits <700 years also evident, indicating abandonment of the site between c. 8ka - 1ka. This lab code is referred to as Beta-14858 in Bird & Frankel, 1991.",c14,,700,,,,AUSTRALIA
11319,Sydney Basin,150.6,-35.1,St Georges Basin 5,Midden,ANU-1985,710,70,,,Charcoal,Charcoal,H18/5a,,Radiocarbon,,Terrestrial,Open,Y,"Barz, 1977 cit. Boot, 2002; Barz, 1977 cit. Hutchinson & Attenbrow, 2009",Basal date of site.,c14,,710,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10831,Naracoorte Coastal Plain,140.26,-37.68,Inland Camps,Midden,ANU-1546,720,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Luebbers, 1978 cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka.",c14,,720,,,,AUSTRALIA
13902,Sydney Basin,149.72,-32.29,BOB/1 (Ulan),Rockshelter,ANU-123,730,70,,,Charcoal,Charcoal,"Sq. E, level 1","4-6""",Radiocarbon,,Terrestrial,Closed,Y,Moore 1970,"Excavation of rockshelter near Queens Creek (Ulan), 16,609 artefacts recovered with 907 being implements to depths of 48"" (hard grey sterile clay and/or sandstone bedrock found beneath this point). Different from Hunter Valley in raw materials - milky quartz, rock crystal and fine grained grey chert. Bondi points found throughout.  69 bone implements also identified, 42 of which were burins. Bone found only in levels 1-3 (many of which were post-European species)",c14,,730,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10419,Murray Darling Depression,143.1,-33.8,Lake Mungo (WOC-3),Hearth,ANU 666,740,70,,,Charcoal from hearth,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Barbetti 1973, Johnston & Clark, 1998",,c14,,740,,,,AUSTRALIA
10393,Murray Darling Depression,143,-33.6,Lake Leaghur (LLB-1),Hearth,ANU 675,750,70,,,Charcoal from hearth,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Barbetti 1973, Johnston & Clark, 1998",,c14,,750,,,,AUSTRALIA
10735,King,144.76,-40.52,"Stockyard Site, Hunter Island",Midden,ANU-1620,760,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Geering, 1982; Bowdler, 1979 cit. Stockton, 1981","Midden in the centre of the island retaining two broad midden units. This date comes from the bottom 5cm of the upper midden unit. This date was one of the early samples for the site, which had only been recently excavated at this stage.",c14,,760,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
14761,King,144.73,-40.33,Rookery Rockshelter,Rockshelter with midden deposits,ANU-1698,870,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,"Bowdler, 1979 cit. Stockton, 1981",This sample is referred to in a review paper of Tasmanian radiocarbon dates by Stockton 1981. Limited contextual information is provided.,c14,,870,Information within this entry has been inferred by authors - see Notes,,,AUSTRALIA
10340,Channel Country,144.33,-28.84,White Bore IV,Hearth,Beta 33937,880,70,,,Charcoal from hearth,Charcoal,Excavation Unit 4,06-Oct,Radiocarbon,,Terrestrial,Open,Y,"Robin 1993, 1996",,c14,,880,,,,AUSTRALIA
10116,South East Corner,150.2,-35.83,Barlings Beach,Burial,ANU-7501B,910,70,,,Bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1991 cit. Brown, 2005",Human remains recovered from a shell midden on Barlings Beach following construction disturbance. Identified as an adult female in her 30's.,c14,,910,,,,AUSTRALIA
14008,Sydney Basin,150.37,-33.73,King's Tableland,Rockshelter,SUA-155,980,70,,,Charcoal,Charcoal,"Level 5, SU II",23-25,Radiocarbon,,Terrestrial,Closed,Y,"Stockton & Holland 1974 ; Gillespie & Temple, 1976","Site consists of two stratigraphic units, Phase I - IV are late Holocene, while the lower deposit dates >14ka. This date relates to the Phase IV assemblage. Date referred to as 1060 +/- 115 years BP in Stockton (1993). Gillespie & Temple indicate that this date was 965 +/- 75",c14,,980,,,,AUSTRALIA
10394,Murray Darling Depression,143,-33.6,Lake Leaghur (LLB-1),Hearth,ANU 674,990,70,,,Charcoal from hearth,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Barbetti 1973, Johnston & Clark, 1998",,c14,,990,,,,AUSTRALIA
12376,Sydney Basin,151.16,-32.51,GCC 33 (Camberwell),Open site,Beta-29213,1020,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Koettig, 1992","This sample formed part of a larger salvage excavation of sites within the Camberwell mining lease area. Initial surveys identified 31 open artefact scatters, most small with  GCC19 and 20 being larger, and GCC27 having raw materials indicative of other Pleistocene finds in the area. The salvage identified a continuous unpatterned occupation along the Station creek and identified features including hearths, heat treatment areas, pits, an oven, stone knapping floors, and small artefact concentrations indicating specific activities. The sites were all dominated by mudstone and silcrete with lesser proportions of chert, quartz and volcanic materials. The technological analysis revealed six type of reduction, four of whic included the removal of a flake from a flake core body. Heat treatment of silcrete cores (but not mudstone) was common. Nineteen dates indicate that the occupation was constrained to the last few thosand years, despite earlier thoughts of a Pleistocene signal. Some difference between Bondaian assemblages east of Singleton and this site were noted.",c14,,1020,,,,AUSTRALIA
10794,Naracoorte Coastal Plain,140.1,-37.54,Abyssinia Bay,Midden,ANU-1171,1030,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Luebbers, 1978 cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. This sample dates the lower part of the midden, but was not basal. This sample pairs with ANU-1242.",c14,,1030,,,,AUSTRALIA
14304,Victoria Bonaparte,129.16,-15.43,Jinmium Rockshelter,Rockshelter,Wk-7693,1060,70,,,Seed Fragment,Wood/Plant Material,C1/III  Spit 18A,80-84,Radiocarbon,,Terrestrial,Closed,Y,"Atchison et. al., 2005",Sample relates to a fruit seed processing study and directly relates to the human activity,c14,,1060,,,,AUSTRALIA
